customer_id,loyalty_tier,clv_bucket,signup_channel,gender,customer_status,mailing_address,billing_address,signup_date,loyalty_enrollment_date,email,email_verified,marketing_opt_in,age,is_guest
customer_id,loyalty_tier,clv_bucket,signup_channel,gender,customer_status,mailing_address,billing_address,,,email,email_verified,marketing_opt_in,age,is_guest
CUST-3443,unknown,unknown,"social media",unknown,inactive,"35839 troy greens, new kathrynside, as 20490","35839 troy greens, new kathrynside, as 20490",2025-01-25,,sandragomez@example.com,True,False,33,""
CUST-3444,silver,medium,"social media",unknown,active,"7170 erica union, lake nicoleborough, sd 89941","7170 erica union, lake nicoleborough, sd 89941",2024-08-15,2025-01-16,jclark@example.org,False,False,42,""
CUST-3445,gold,high,"social media",unknown,active,"unit 2288 box 5155, dpo ae 89322","unit 2288 box 5155, dpo ae 89322",2024-10-14,2024-11-15,sullivaneric@example.net,False,True,22,""
CUST-3446,gold,high,website,unknown,active,"90756 heather manors apt. 027, barbaraview, nj 45577","90756 heather manors apt. 027, barbaraview, nj 45577",2025-02-15,2025-02-19,russobrian@example.com,True,False,35,""
CUST-3447,silver,medium,phone,unknown,dormant,"9802 dana keys suite 650, port ashley, dc 54517","9802 dana keys suite 650, port ashley, dc 54517",2025-01-10,2025-04-17,juliehahn@example.net,True,"",60,""
CUST-3448,silver,medium,phone,female,active,"91371 garcia rapids apt. 732, ericamouth, mh 37146","91371 garcia rapids apt. 732, ericamouth, mh 37146",2025-01-02,2025-07-11,bcarlson@example.com,True,True,25,""
CUST-3449,unknown,unknown,website,male,active,"16804 dylan pine, west shawnborough, ky 07566","16804 dylan pine, west shawnborough, ky 07566",2024-10-24,,moraleskristy@example.com,True,False,67,""
CUST-3450,silver,medium,email,male,dormant,"82808 malik mall suite 630, caitlinbury, ak 28251","82808 malik mall suite 630, caitlinbury, ak 28251",2025-03-07,2025-07-12,jacksonjanet@example.net,True,False,23,""
CUST-3451,unknown,unknown,website,male,active,"2472 osborne plains apt. 989, williamsfurt, vt 44448","2472 osborne plains apt. 989, williamsfurt, vt 44448",2024-11-27,,ljames@example.net,True,False,26,""
CUST-3452,silver,medium,email,male,inactive,"5458 steven drives apt. 729, north richardshire, sd 32426","5458 steven drives apt. 729, north richardshire, sd 32426",2024-09-04,2025-02-14,larryryan@example.net,False,"",40,""
CUST-3453,unknown,unknown,email,female,active,"945 brittany gardens, shannonfort, dc 05302","945 brittany gardens, shannonfort, dc 05302",2024-10-20,,rowerachel@example.com,True,True,70,""
CUST-3454,platinum,high,website,unknown,dormant,"269 brown camp suite 225, north sandra, ne 64017","269 brown camp suite 225, north sandra, ne 64017",2025-04-14,2025-04-25,msanchez@example.org,True,False,20,""
CUST-3455,unknown,unknown,email,male,active,"89469 troy forest suite 022, trujillofurt, nj 22497","89469 troy forest suite 022, trujillofurt, nj 22497",2025-03-07,,obrienanne@example.org,False,False,67,""
CUST-3456,platinum,high,phone,male,active,"uscgc rodriguez, fpo ap 90759","uscgc rodriguez, fpo ap 90759",2024-12-01,2024-12-28,otaylor@example.org,True,False,21,""
CUST-3457,gold,high,"social media",female,active,"760 nicolas stream apt. 480, heathberg, or 24214","760 nicolas stream apt. 480, heathberg, or 24214",2024-12-29,2025-03-22,frederickshort@example.com,True,True,59,""
CUST-3458,bronze,low,phone,female,active,"318 tina glen apt. 637, west kathryn, id 72915","318 tina glen apt. 637, west kathryn, id 72915",2025-07-20,2025-07-21,youngbrittany@example.com,False,False,67,""
CUST-3459,bronze,low,phone,male,active,"889 jeffery throughway, new jacqueline, vi 86488","889 jeffery throughway, new jacqueline, vi 86488",2025-06-15,2025-07-14,kimberly31@example.net,True,False,21,""
CUST-3460,unknown,unknown,email,female,active,"unit 9983 box 6716, dpo aa 18210","unit 9983 box 6716, dpo aa 18210",2024-09-08,,awagner@example.net,True,False,18,""
CUST-3461,bronze,low,website,male,active,"6752 harris pike, brownland, pw 86167","6752 harris pike, brownland, pw 86167",2025-03-15,2025-04-06,nicholaswilliams@example.net,True,False,20,""
CUST-3462,platinum,high,phone,unknown,active,"9779 christie mews, christopherburgh, mo 10931","9779 christie mews, christopherburgh, mo 10931",2024-11-04,2024-11-12,sclark@example.net,False,True,48,""
CUST-3463,bronze,low,"social media",unknown,active,"3512 mendez ports suite 948, east michael, oh 68839","3512 mendez ports suite 948, east michael, oh 68839",2025-06-24,2025-06-30,qroberts@example.com,unknown,True,37,""
CUST-3464,bronze,low,website,female,inactive,"unit 0930 box 3873, dpo aa 10773","unit 0930 box 3873, dpo aa 10773",2025-07-14,2025-07-20,melvinwatkins@example.net,True,False,29,""
CUST-3465,silver,medium,email,male,dormant,"697 smith club, west daniellemouth, mh 96142","697 smith club, west daniellemouth, mh 96142",2024-07-28,2024-09-03,trocha@example.net,False,False,32,""
CUST-3466,bronze,low,email,male,inactive,"08044 adam mission apt. 314, fritzside, co 63242","08044 adam mission apt. 314, fritzside, co 63242",2024-11-07,2025-07-11,jhendricks@example.net,True,True,21,""
CUST-3467,silver,medium,phone,unknown,active,"44416 smith shore, lake jane, tn 70762","44416 smith shore, lake jane, tn 70762",2025-02-02,2025-07-10,lewissherri@example.net,True,False,42,""
CUST-3468,bronze,low,"social media",male,active,"uss tyler, fpo aa 13651","uss tyler, fpo aa 13651",2024-10-14,2025-06-22,yusarah@example.com,True,False,49,""
CUST-3469,gold,high,email,male,active,"852 danny circles suite 123, east sheristad, ri 75156","852 danny circles suite 123, east sheristad, ri 75156",2024-09-15,2025-03-17,michael35@example.com,True,False,22,""
CUST-3470,silver,medium,email,female,active,"5804 kane shoal suite 727, east sherry, gu 04580","5804 kane shoal suite 727, east sherry, gu 04580",2024-10-04,2024-10-13,mark79@example.net,True,False,21,""
CUST-3471,bronze,low,email,male,active,"6198 johnson avenue, davidchester, ks 32470","6198 johnson avenue, davidchester, ks 32470",2025-04-05,2025-04-12,cisneroskristen@example.net,True,True,49,""
CUST-3472,silver,medium,phone,unknown,active,"6879 williamson circle suite 690, east dennis, mt 56374","6879 williamson circle suite 690, east dennis, mt 56374",2025-03-09,2025-03-26,owilson@example.net,False,True,33,""
CUST-3473,bronze,low,"social media",unknown,active,"uscgc fields, fpo ap 72215","uscgc fields, fpo ap 72215",2025-02-26,2025-07-17,michael63@example.org,False,False,51,""
CUST-3474,unknown,unknown,website,male,active,"8154 stewart light apt. 048, danaborough, wi 58706","8154 stewart light apt. 048, danaborough, wi 58706",2025-04-26,,gallagheralexis@example.com,True,True,64,""
CUST-3475,gold,high,phone,male,active,"8373 matthew courts, south norman, ia 14046","8373 matthew courts, south norman, ia 14046",2024-10-06,2024-12-31,sarahbeck@example.com,unknown,True,31,""
CUST-3476,platinum,high,website,male,active,"06216 bean shoal suite 432, yufort, oh 08267","06216 bean shoal suite 432, yufort, oh 08267",2025-04-01,2025-06-21,robertsimmons@example.com,True,False,24,""
CUST-3477,bronze,low,email,unknown,dormant,"74289 wesley cove suite 987, north john, sc 33818","74289 wesley cove suite 987, north john, sc 33818",2024-11-01,2025-06-19,urose@example.net,False,False,21,""
CUST-3478,gold,high,phone,male,active,"845 martinez spurs suite 339, gregorybury, ny 42415","845 martinez spurs suite 339, gregorybury, ny 42415",2024-09-14,2025-03-22,jacksmith@example.net,True,False,46,""
CUST-3479,unknown,unknown,phone,unknown,active,"2635 stuart prairie suite 761, west annafort, vi 53356","2635 stuart prairie suite 761, west annafort, vi 53356",2024-11-25,,rbell@example.com,True,False,32,""
CUST-3480,unknown,unknown,website,unknown,inactive,"9714 mcgrath ports apt. 686, south pamela, mn 99854","9714 mcgrath ports apt. 686, south pamela, mn 99854",2024-07-23,,robert64@example.com,True,"",22,""
CUST-3481,bronze,low,website,female,active,"248 michael tunnel, munozborough, ca 67013","248 michael tunnel, munozborough, ca 67013",2024-10-22,2024-11-29,rodriguezmatthew@example.org,True,False,63,""
CUST-3482,gold,high,"social media",male,inactive,"0128 matthew cliffs, north rebeccachester, nj 92053","0128 matthew cliffs, north rebeccachester, nj 92053",2025-06-03,2025-06-06,william68@example.org,False,False,30,""
CUST-3483,silver,medium,phone,female,inactive,"59208 mendoza expressway apt. 484, north timothy, oh 24613","59208 mendoza expressway apt. 484, north timothy, oh 24613",2025-07-13,2025-07-19,raymondlopez@example.com,True,True,22,""
CUST-3484,platinum,high,"social media",female,active,"0046 karen cliffs, east dawn, vi 94500","0046 karen cliffs, east dawn, vi 94500",2024-11-24,2024-12-11,maryking@example.com,True,False,31,""
CUST-3485,unknown,unknown,website,male,active,"01857 angela well, south adrian, ca 28664","01857 angela well, south adrian, ca 28664",2025-06-01,,martinezandre@example.com,True,False,24,""
CUST-3486,unknown,unknown,"social media",male,active,"07129 green mall, lake antoniomouth, ri 12747","07129 green mall, lake antoniomouth, ri 12747",2024-09-01,,kevinwilcox@example.com,True,False,55,""
CUST-3487,unknown,unknown,website,unknown,active,"unit 5907 box 6070, dpo ap 30302","unit 5907 box 6070, dpo ap 30302",2024-09-26,,catherinechung@example.org,True,False,42,""
CUST-3488,bronze,low,email,unknown,active,"046 mariah meadow, lake melinda, mt 26704","046 mariah meadow, lake melinda, mt 26704",2025-03-15,2025-06-27,jonathan26@example.org,True,True,57,""
CUST-3489,gold,high,phone,female,active,"65292 henry cliff suite 131, myersborough, sd 69137","65292 henry cliff suite 131, myersborough, sd 69137",2024-11-16,2024-12-29,amiller@example.com,True,False,40,""
CUST-3490,silver,medium,phone,unknown,inactive,"58471 amy via, woodmouth, nh 55813","58471 amy via, woodmouth, nh 55813",2024-09-05,2025-02-13,angela63@example.org,True,False,56,""
CUST-3491,platinum,high,website,unknown,active,"26524 smith mall, south susan, ks 42588","26524 smith mall, south susan, ks 42588",2025-04-10,2025-05-05,pgross@example.net,True,False,70,""
CUST-3492,silver,medium,phone,female,active,"238 wood park suite 162, port craig, ky 46787","238 wood park suite 162, port craig, ky 46787",2024-11-02,2024-12-15,dbailey@example.org,True,False,65,""
CUST-3493,platinum,high,website,female,active,"91604 sarah bridge apt. 390, evansview, ms 15825","91604 sarah bridge apt. 390, evansview, ms 15825",2025-06-24,2025-07-02,donna70@example.com,True,False,67,""
CUST-3494,platinum,high,email,male,active,"8500 walker expressway, new davidborough, mt 88826","8500 walker expressway, new davidborough, mt 88826",2025-07-08,2025-07-12,salazarsherry@example.com,True,False,62,""
CUST-3495,bronze,low,website,female,active,"68072 love circle apt. 967, peterfort, al 19347","68072 love circle apt. 967, peterfort, al 19347",2025-05-04,2025-07-17,danagibbs@example.net,True,False,42,""
CUST-3496,silver,medium,email,female,inactive,"38865 william row, lake kevinburgh, tx 69825","38865 william row, lake kevinburgh, tx 69825",2024-08-11,2024-12-11,jesusgamble@example.net,False,True,52,""
CUST-3497,silver,medium,phone,female,active,"1154 bennett trace, susanfurt, ms 28762","1154 bennett trace, susanfurt, ms 28762",2025-05-22,2025-06-16,rpayne@example.org,True,True,69,""
CUST-3498,unknown,unknown,website,female,active,"psc 9917, box 6410, apo ap 67892","psc 9917, box 6410, apo ap 67892",2025-07-10,,fmyers@example.com,True,True,21,""
CUST-3499,silver,medium,"social media",female,active,"952 hayes shoal, west michaelshire, ne 22914","952 hayes shoal, west michaelshire, ne 22914",2025-01-30,2025-02-21,mmyers@example.com,True,True,21,""
CUST-3500,gold,high,"social media",unknown,dormant,"87287 brian gateway, south chelseaborough, mp 07362","87287 brian gateway, south chelseaborough, mp 07362",2024-09-01,2025-02-10,ptorres@example.net,True,True,56,""
CUST-3501,unknown,unknown,website,unknown,active,"643 hill light suite 125, loweryland, ct 24767","643 hill light suite 125, loweryland, ct 24767",2025-01-13,,nunezchristopher@example.net,True,False,65,""
CUST-3502,gold,high,phone,male,inactive,"98941 joshua forge suite 864, smithport, ri 96816","98941 joshua forge suite 864, smithport, ri 96816",2025-04-16,2025-07-02,yallen@example.net,True,False,41,""
CUST-3503,unknown,unknown,website,female,active,"010 marcus lakes suite 097, smallborough, ky 03008","010 marcus lakes suite 097, smallborough, ky 03008",2025-06-06,,mowen@example.org,True,True,58,""
CUST-3504,platinum,high,"social media",male,active,"300 kim island apt. 400, new jessicachester, sc 25662","300 kim island apt. 400, new jessicachester, sc 25662",2025-01-05,2025-05-20,currylindsey@example.org,False,False,36,""
CUST-3505,silver,medium,website,male,active,"963 rhonda square apt. 472, carterport, sc 94680","963 rhonda square apt. 472, carterport, sc 94680",2024-11-30,2024-12-30,williamskimberly@example.net,False,True,31,""
CUST-3506,gold,high,email,unknown,active,"unit 6588 box 9759, dpo ap 32912","unit 6588 box 9759, dpo ap 32912",2024-09-01,2024-12-21,kortiz@example.org,True,False,19,""
