order_id,customer_id,email,order_date,order_channel,payment_method,shipping_speed,is_expedited,agent_id,shipping_address,billing_address,order_total,total_items,clv_bucket
order_id,customer_id,email,,order_channel,payment_method,shipping_speed,is_expedited,agent_id,shipping_address,billing_address,order_total,total_items,clv_bucket
SO-55990939,GUEST-100985,careyhannah@example.net,2024-10-23,web,paypal,standard,False,ONLINE,"5601 Cohen Mountain, Halefurt, NV 21862","5601 Cohen Mountain, Halefurt, NV 21862",4744.73,22,unknown
SO-44779536,GUEST-100985,careyhannah@example.net,2024-11-20,web,ach,standard,False,ONLINE,"5601 Cohen Mountain, Halefurt, NV 21862","5601 Cohen Mountain, Halefurt, NV 21862",4523.41,37,unknown
SO-24327594,GUEST-100985,careyhannah@example.net,2024-10-02,web,paypal,overnight,True,ONLINE,"5601 Cohen Mountain, Halefurt, NV 21862","5601 Cohen Mountain, Halefurt, NV 21862",2334.48,7,unknown
SO-64490159,GUEST-100637,dpetty@example.org,2025-01-22,"social media","apple pay",standard,False,"","0327 Angela Mission, New Luis, GU 04341","0327 Angela Mission, New Luis, GU 04341",8361.06,29,unknown
SO-97810546,GUEST-100258,michelleturner@example.net,2025-06-10,"social media",paypal,standard,False,ONLINE,"381 Melissa Mountains Apt. 068, Lake Cindychester, AR 15582","381 Melissa Mountains Apt. 068, Lake Cindychester, AR 15582",8496.38,20,unknown
SO-36449775,GUEST-100258,michelleturner@example.net,2024-08-14,phone,ach,two-day,True,CSR-0005,"381 Melissa Mountains Apt. 068, Lake Cindychester, AR 15582","381 Melissa Mountains Apt. 068, Lake Cindychester, AR 15582",4439.09,15,unknown
SO-11555886,GUEST-100258,michelleturner@example.net,2024-08-14,web,"google pay",standard,False,ONLINE,"381 Melissa Mountains Apt. 068, Lake Cindychester, AR 15582","381 Melissa Mountains Apt. 068, Lake Cindychester, AR 15582",1819.26,4,unknown
SO-83624287,GUEST-100402,stanleyparrish@example.net,2025-04-26,ebay,ebay,overnight,True,ONLINE,"62394 Eric Parks Apt. 195, South Kelly, MI 60387","62394 Eric Parks Apt. 195, South Kelly, MI 60387",463.31,5,unknown
SO-77680125,GUEST-101036,michael36@example.com,2024-10-28,web,"google pay",standard,False,ONLINE,"Unit 3420 Box 1381, DPO AA 21845","Unit 3420 Box 1381, DPO AA 21845",1599.83,6,unknown
SO-58379448,GUEST-101036,michael36@example.com,2025-06-16,web,"apple pay",standard,False,ONLINE,"Unit 3420 Box 1381, DPO AA 21845","Unit 3420 Box 1381, DPO AA 21845",1636.99,9,unknown
SO-47076762,GUEST-101078,amandaalexander@example.net,2025-05-28,phone,ach,two-day,True,CSR-0015,"4840 Martinez Locks Suite 130, Arnoldview, AK 58412","4840 Martinez Locks Suite 130, Arnoldview, AK 58412",3894.38,17,unknown
SO-82513782,GUEST-101078,amandaalexander@example.net,2025-02-19,web,paypal,standard,False,ONLINE,"4840 Martinez Locks Suite 130, Arnoldview, AK 58412","4840 Martinez Locks Suite 130, Arnoldview, AK 58412",4607.69,23,unknown
SO-02193570,GUEST-100868,shelly07@example.org,2024-10-27,web,ach,standard,False,ONLINE,"8270 Ramirez Drive Apt. 702, Ricardoberg, MO 39369","8270 Ramirez Drive Apt. 702, Ricardoberg, MO 39369",1047.58,4,unknown
SO-52211273,GUEST-100868,shelly07@example.org,2025-03-10,web,"apple pay",standard,False,ONLINE,"8270 Ramirez Drive Apt. 702, Ricardoberg, MO 39369","8270 Ramirez Drive Apt. 702, Ricardoberg, MO 39369",4119.41,21,unknown
SO-92963122,GUEST-100868,shelly07@example.org,2025-03-10,web,"google pay",two-day,True,ONLINE,"8270 Ramirez Drive Apt. 702, Ricardoberg, MO 39369","8270 Ramirez Drive Apt. 702, Ricardoberg, MO 39369",6206.35,24,unknown
SO-14113685,GUEST-101206,qhays@example.org,2025-05-16,phone,"credit card",standard,False,CSR-0006,"724 Schmidt Center, Wellsland, IL 93795","724 Schmidt Center, Wellsland, IL 93795",4058.98,12,unknown
SO-64978650,GUEST-101206,qhays@example.org,2025-02-04,phone,ach,two-day,True,CSR-0007,"724 Schmidt Center, Wellsland, IL 93795","724 Schmidt Center, Wellsland, IL 93795",2165.83,8,unknown
SO-23116798,GUEST-101110,newmanthomas@example.com,2025-01-15,web,"google pay",standard,False,ONLINE,"7963 Williams Villages Apt. 395, Lake Patricia, ID 55347","7963 Williams Villages Apt. 395, Lake Patricia, ID 55347",2929.85,20,unknown
SO-90467618,GUEST-101110,newmanthomas@example.com,2024-11-10,phone,ach,two-day,True,CSR-0010,"7963 Williams Villages Apt. 395, Lake Patricia, ID 55347","7963 Williams Villages Apt. 395, Lake Patricia, ID 55347",1735.09,15,unknown
SO-97455543,GUEST-101110,newmanthomas@example.com,2025-06-01,web,paypal,standard,False,ONLINE,"7963 Williams Villages Apt. 395, Lake Patricia, ID 55347","7963 Williams Villages Apt. 395, Lake Patricia, ID 55347",2539.1,10,unknown
SO-03754578,GUEST-101074,ucook@example.org,2024-10-21,web,"credit card",two-day,True,ONLINE,"PSC 6324, Box 7358, APO AE 05980","PSC 6324, Box 7358, APO AE 05980",11969.75,34,unknown
SO-62981087,GUEST-101074,ucook@example.org,2024-08-30,web,paypal,standard,False,ONLINE,"PSC 6324, Box 7358, APO AE 05980","PSC 6324, Box 7358, APO AE 05980",1992.2,5,unknown
SO-03894606,GUEST-101263,joneskimberly@example.org,2024-08-27,web,ach,two-day,True,ONLINE,"79310 Donna Drive, Thomasburgh, NY 04207","79310 Donna Drive, Thomasburgh, NY 04207",7615.3,27,unknown
SO-21799164,GUEST-101263,joneskimberly@example.org,2025-06-10,web,"credit card",standard,False,ONLINE,"79310 Donna Drive, Thomasburgh, NY 04207","79310 Donna Drive, Thomasburgh, NY 04207",6791.92,26,unknown
SO-94677884,GUEST-101263,joneskimberly@example.org,2025-03-10,web,ach,standard,False,ONLINE,"79310 Donna Drive, Thomasburgh, NY 04207","79310 Donna Drive, Thomasburgh, NY 04207",5957.34,20,unknown
SO-17515481,GUEST-100094,sheilathompson@example.com,2024-10-14,web,ach,standard,False,ONLINE,"78430 David Landing Suite 687, West Michaelton, MT 77860","78430 David Landing Suite 687, West Michaelton, MT 77860",7201.61,36,unknown
SO-94629702,GUEST-100094,sheilathompson@example.com,2024-08-07,ebay,ebay,standard,False,ONLINE,"78430 David Landing Suite 687, West Michaelton, MT 77860","78430 David Landing Suite 687, West Michaelton, MT 77860",5278.54,12,unknown
SO-43527520,GUEST-100078,alyssawilson@example.org,2024-08-05,web,"credit card",two-day,True,ONLINE,"084 Terry Stravenue, Moorechester, DC 88934","084 Terry Stravenue, Moorechester, DC 88934",6849.9,27,unknown
SO-00390907,GUEST-100078,alyssawilson@example.org,2025-06-27,web,ach,standard,False,ONLINE,"084 Terry Stravenue, Moorechester, DC 88934","084 Terry Stravenue, Moorechester, DC 88934",3124.86,15,unknown
SO-77196838,GUEST-100078,alyssawilson@example.org,2025-01-09,ebay,ebay,overnight,True,ONLINE,"084 Terry Stravenue, Moorechester, DC 88934","084 Terry Stravenue, Moorechester, DC 88934",1638.72,11,unknown
SO-97959209,GUEST-101005,ltucker@example.com,2024-11-03,web,"apple pay",overnight,True,ONLINE,"4342 Troy Station Suite 254, Newmanfort, IL 65376","4342 Troy Station Suite 254, Newmanfort, IL 65376",5156.22,23,unknown
SO-89918652,GUEST-101005,ltucker@example.com,2025-01-18,web,"credit card",standard,False,ONLINE,"4342 Troy Station Suite 254, Newmanfort, IL 65376","4342 Troy Station Suite 254, Newmanfort, IL 65376",7044.64,34,unknown
SO-94151381,GUEST-101005,ltucker@example.com,2024-10-23,web,paypal,standard,False,ONLINE,"4342 Troy Station Suite 254, Newmanfort, IL 65376","4342 Troy Station Suite 254, Newmanfort, IL 65376",6458.98,28,unknown
SO-23114373,GUEST-101100,rileyrobert@example.net,2024-10-21,web,"apple pay",standard,False,"","31177 Jamie Spurs, New Timothychester, CT 02549","31177 Jamie Spurs, New Timothychester, CT 02549",4900.2,22,unknown
